Approach,Rank,Chkpt ID,Chunk Size,Uncompressed Size,Compressed Size,Max Memory Usage,Compression Throughput,Compression Ratio,Compression Runtime
TreeLowOffset,0,0,128,5348897756,519730772,11943280640,6299416749.302211,10.291670311181806,0.8491099999999999
TreeLowOffset,0,0,128,5348897756,519730772,11943280640,6646203435.614839,10.291670311181806,0.804805
TreeLowOffset,0,0,128,5348897756,519730772,11943280640,6613865712.095358,10.291670311181806,0.80874
TreeLowOffset,0,0,256,5348897756,506080676,10179575808,8819455996.190529,10.569259032526269,0.6064884
TreeLowOffset,0,0,256,5348897756,506080676,10179575808,8749139841.210464,10.569259032526269,0.6113626999999999
TreeLowOffset,0,0,256,5348897756,506080676,10179575808,8630166430.35037,10.569259032526269,0.6197908
TreeLowOffset,0,0,512,5348897756,616333320,7874805760,14361315359.463963,8.678579564706967,0.3724518
TreeLowOffset,0,0,512,5348897756,616333320,7874805760,13710383580.239445,8.678579564706967,0.3901348
TreeLowOffset,0,0,512,5348897756,616333320,8048869376,13979068776.033215,8.678579564706967,0.3826362
TreeLowOffset,0,0,1024,5348897756,799032608,7369392128,14515869945.740164,6.694217110098215,0.36848620000000004
TreeLowOffset,0,0,1024,5348897756,799032608,7350517760,14901155052.421087,6.694217110098215,0.3589586
TreeLowOffset,0,0,1024,5348897756,799032608,7369392128,15187642253.061226,6.694217110098215,0.3521875
TreeLowOffset,0,0,2048,5348897756,1010444968,7203717120,8580421948.590276,5.293606208547124,0.6233839999999999
TreeLowOffset,0,0,2048,5348897756,1010444968,7235174400,9144690534.611322,5.293606208547124,0.5849184000000001
TreeLowOffset,0,0,2048,5348897756,1010444968,7235174400,12866048991.502808,5.293606208547124,0.41573740000000003
TreeLowOffset,0,0,4096,5348897756,1199841116,7230980096,12743559974.021606,4.458005051395488,0.4197334
TreeLowOffset,0,0,4096,5348897756,1199841116,7230980096,12816569215.109703,4.458005051395488,0.4173424
TreeLowOffset,0,0,4096,5348897756,1199841116,7245660160,12764235965.097536,4.458005051395488,0.41905349999999997
