Approach,Rank,Chkpt ID,Chunk Size,Uncompressed Size,Compressed Size,Max Memory Usage,Compression Throughput,Compression Ratio,Compression Runtime
TreeLowOffset,0,0,512,3262906112,56678432,4706009088,20326720233.237606,57.56874346841494,0.160523
TreeLowOffset,0,0,512,3262906112,56678432,4706009088,22769168639.749012,57.56874346841494,0.14330369999999998
TreeLowOffset,0,0,1024,3262906112,33861408,4259315712,41098521040.45354,96.36061536484247,0.07939230000000001
TreeLowOffset,0,0,1024,3262906112,33861408,4259315712,38635488741.74695,96.36061536484247,0.0844536
TreeLowOffset,0,0,1024,3262906112,33861408,4206886912,38038297168.90399,96.36061536484247,0.08577950000000001
TreeLowOffset,0,0,2048,3262906112,25060888,4037017600,59690164047.48641,130.19914186600252,0.054664050000000006
TreeLowOffset,0,0,2048,3262906112,25060888,4039114752,59580146221.153336,130.19914186600252,0.05476499
TreeLowOffset,0,0,2048,3262906112,25060888,4037017600,58496426685.17762,130.19914186600252,0.05577958
TreeLowOffset,0,0,4096,3262906112,24822524,3955228672,79605695569.59477,131.44940909312848,0.04098835
TreeLowOffset,0,0,4096,3262906112,24822524,3955228672,76023790376.13171,131.44940909312848,0.04291954
TreeLowOffset,0,0,4096,3262906112,24822524,3955228672,79074281119.46037,131.44940909312848,0.04126381
Full,0,1,32,3262906112,3262906112,3781165056,3420936556.756148,1.0,0.953804918
Full,0,1,32,3262906112,3262906112,3781165056,3471104405.142062,1.0,0.940019582
Full,0,1,32,3262906112,3262906112,3781165056,3493873298.6811585,1.0,0.9338936569999999
Full,0,1,64,3262906112,3262906112,3781165056,3545999137.5986276,1.0,0.9201655120000001
Full,0,1,64,3262906112,3262906112,3781165056,2522974927.981105,1.0,1.2932772639999999
Full,0,1,64,3262906112,3262906112,3781165056,3432601219.079375,1.0,0.950563699
Full,0,1,128,3262906112,3262906112,3781165056,3433767856.0974264,1.0,0.950240741
Full,0,1,128,3262906112,3262906112,3781165056,3436292533.229078,1.0,0.9495425900000001
Full,0,1,128,3262906112,3262906112,3781165056,3428737332.532952,1.0,0.951634901
Full,0,1,256,3262906112,3262906112,3781165056,3453323656.1286883,1.0,0.9448596300000001
Full,0,1,256,3262906112,3262906112,3781165056,3452693319.917155,1.0,0.9450321269999999
Full,0,1,256,3262906112,3262906112,3781165056,2592455897.8682694,1.0,1.258615861
Full,0,1,512,3262906112,3262906112,3781165056,3376689552.0253844,1.0,0.966303257
Full,0,1,512,3262906112,3262906112,3781165056,2977179461.7032204,1.0,1.095972263
Full,0,1,512,3262906112,3262906112,3781165056,3382414452.083959,1.0,0.9646677419999999
Full,0,1,1024,3262906112,3262906112,3781165056,3364848147.040872,1.0,0.969703823
Full,0,1,1024,3262906112,3262906112,3781165056,3391545316.3063116,1.0,0.962070622
Full,0,1,1024,3262906112,3262906112,3781165056,3379479514.024858,1.0,0.965505516
Full,0,1,2048,3262906112,3262906112,3781165056,3294649835.8374553,1.0,0.990365069
Full,0,1,2048,3262906112,3262906112,3781165056,3412081528.2230797,1.0,0.956280231
Full,0,1,2048,3262906112,3262906112,3781165056,3351897361.271539,1.0,0.973450485
Full,0,1,4096,3262906112,3262906112,3781165056,3383736650.967955,1.0,0.964290797
Full,0,1,4096,3262906112,3262906112,3781165056,3376209913.811417,1.0,0.966440534
Full,0,1,4096,3262906112,3262906112,3781165056,3359353925.7825584,1.0,0.971289773
Basic,0,1,32,3262906112,204616508,9099542528,13797173422.872053,15.946446080489263,0.236490911
Basic,0,1,32,3262906112,204616508,9099542528,14489735700.770561,15.946446080489263,0.22518741399999997
Basic,0,1,32,3262906112,204616508,9099542528,14319741458.164486,15.946446080489263,0.227860686
Basic,0,1,64,3262906112,198387244,8074035200,20609918876.128174,16.44715681417501,0.158317271
Basic,0,1,64,3262906112,198387244,8074035200,21028881263.678913,16.44715681417501,0.155163086
Basic,0,1,64,3262906112,198387244,8074035200,22691216269.51526,16.44715681417501,0.143795999
Basic,0,1,128,3262906112,196750124,7560232960,30613583118.837402,16.58401044768846,0.106583607
Basic,0,1,128,3262906112,196750124,7560232960,30605442427.062847,16.58401044768846,0.10661195700000001
Basic,0,1,128,3262906112,196750124,7560232960,30664281619.24245,16.58401044768846,0.106407388
Basic,0,1,256,3262906112,198493912,7304380416,32503020581.757854,16.438318329884094,0.100387781
Basic,0,1,256,3262906112,198493912,7304380416,35656357155.18994,16.438318329884094,0.09150979999999999
Basic,0,1,256,3262906112,198493912,7304380416,36095086774.17832,16.438318329884094,0.09039751400000001
Basic,0,1,512,3262906112,203037776,7174356992,39489560320.29025,16.070438596608742,0.08262705599999999
Basic,0,1,512,3262906112,203037776,7174356992,39458267648.28149,16.070438596608742,0.08269258400000001
Basic,0,1,512,3262906112,203037776,7174356992,39337163016.20632,16.070438596608742,0.08294716399999999
Basic,0,1,1024,3262906112,207040260,7109345280,40824130054.73231,15.759766298593327,0.079925919
Basic,0,1,1024,3262906112,207040260,7109345280,39618765828.15542,15.759766298593327,0.082357591
Basic,0,1,1024,3262906112,207040260,7109345280,39366638934.6876,15.759766298593327,0.08288505699999998
Basic,0,1,2048,3262906112,212730872,7077888000,40967228977.62905,15.338188018145294,0.079646737
Basic,0,1,2048,3262906112,212730872,7077888000,40767924268.58422,15.338188018145294,0.080036111
Basic,0,1,2048,3262906112,212730872,7077888000,40845369913.91193,15.338188018145294,0.079884357
Basic,0,1,4096,3262906112,220731732,7063207936,39916024348.423416,14.782224931755621,0.081744266
Basic,0,1,4096,3262906112,220731732,7063207936,40193933635.775,14.782224931755621,0.081179069
Basic,0,1,4096,3262906112,220731732,7063207936,39995323881.35204,14.782224931755621,0.08158219
List,0,1,32,3262906112,46139996,12926844928,68877438791.67384,70.71752047832861,0.04737264
List,0,1,32,3262906112,46139996,12926844928,72526501986.38979,70.71752047832861,0.044989156
List,0,1,32,3262906112,46139996,12926844928,72499669031.59853,70.71752047832861,0.045005807
List,0,1,64,3262906112,26387540,8363442176,100053683795.62654,123.6532890902297,0.032611554
List,0,1,64,3262906112,26387540,8363442176,115944019777.92546,123.6532890902297,0.028142082
List,0,1,64,3262906112,26387540,8363442176,114744425794.17787,123.6532890902297,0.028436293
List,0,1,128,3262906112,19412408,6077546496,140617648233.8187,168.08353255299394,0.023204100999999998
List,0,1,128,3262906112,19412408,6077546496,139139723841.27774,168.08353255299394,0.023450572
List,0,1,128,3262906112,19412408,6077546496,141500295476.55682,168.08353255299394,0.023059359
List,0,1,256,3262906112,20284568,4942987264,152856403509.04315,160.85657392358564,0.021346218
