Scenario,Approach,Rank,Chkpt ID,Number of Chkpts,Chunk Size,Uncompressed Size,Compressed Size,Max Memory Usage,Compression Throughput,Compression Ratio,Compression Runtime
AsiaOSM,Basic,0,0,10,64,3489621044,3707722404,8596226048,2478035277.547971,0.9411764592287961,1.40822089
AsiaOSM,List,0,0,10,64,3489621044,458719532,8919187456,5690769105.024323,7.607308607037906,0.61320728
AsiaOSM,List,0,0,10,64,3489621044,458719532,8919187456,5375869372.091738,7.607308607037906,0.6491268299999999
AsiaOSM,List,0,0,10,64,3489621044,458719532,8919187456,5639259240.190352,7.607308607037906,0.61880841
AsiaOSM,TreeLowOffset,0,0,10,64,3489621044,457923212,11733565440,3605196431.191125,7.620537576068539,0.9679420000000001
AsiaOSM,TreeLowOffset,0,0,10,64,3489621044,457923212,11733565440,3575416744.193671,7.620537576068539,0.976004
AsiaOSM,TreeLowOffset,0,0,10,64,3489621044,457923212,11733565440,3472525799.489115,7.620537576068539,1.004923
AsiaOSM,Full,0,1,10,64,3489621044,3489621044,4007657472,2954002623.5136843,1.0,1.181319548
AsiaOSM,Full,0,1,10,64,3489621044,3489621044,4007657472,3452174328.639735,1.0,1.010847284
AsiaOSM,Full,0,1,10,64,3489621044,3489621044,4007657472,3334248730.8201323,1.0,1.046598897
AsiaOSM,Basic,0,1,10,64,3489621044,56369448,8596226048,28932134456.674274,61.90624829251477,0.12061402
AsiaOSM,Basic,0,1,10,64,3489621044,56369448,8596226048,32769108615.38017,61.90624829251477,0.10649117999999999
AsiaOSM,Basic,0,1,10,64,3489621044,56369448,8596226048,32674216060.433903,61.90624829251477,0.10680045199999999
AsiaOSM,List,0,1,10,64,3489621044,28366504,8919187456,157734106630.7952,123.01907362288988,0.02212344
AsiaOSM,List,0,1,10,64,3489621044,28366504,8919187456,147918147873.85052,123.01907362288988,0.023591568
AsiaOSM,List,0,1,10,64,3489621044,28366504,8919187456,154252052416.0307,123.01907362288988,0.02262285
AsiaOSM,TreeLowOffset,0,1,10,64,3489621044,26958940,11733565440,125521087566.61703,129.44207168382732,0.027801074
AsiaOSM,TreeLowOffset,0,1,10,64,3489621044,26958940,11733565440,131196583525.61925,129.44207168382732,0.026598413999999997
AsiaOSM,TreeLowOffset,0,1,10,64,3489621044,26958940,11733565440,130809026383.14735,129.44207168382732,0.026677219000000002
AsiaOSM,Full,0,2,10,64,3489621044,3489621044,4007657472,3396460427.596995,1.0,1.027428736
AsiaOSM,Full,0,2,10,64,3489621044,3489621044,4007657472,3443457461.003109,1.0,1.013406172
AsiaOSM,Full,0,2,10,64,3489621044,3489621044,4007657472,3393094145.66188,1.0,1.028448046
AsiaOSM,Basic,0,2,10,64,3489621044,61885948,8596226048,32300365410.489986,56.38793872883712,0.108036581
AsiaOSM,Basic,0,2,10,64,3489621044,61885948,8596226048,27473178927.587906,56.38793872883712,0.127019194
AsiaOSM,Basic,0,2,10,64,3489621044,61885948,8596226048,32427314681.235077,56.38793872883712,0.10761363000000002
AsiaOSM,List,0,2,10,64,3489621044,31034752,8919187456,139087531509.33774,112.44236925108987,0.025089387999999997
AsiaOSM,List,0,2,10,64,3489621044,31034752,8919187456,142650253047.74295,112.44236925108987,0.024462775
AsiaOSM,List,0,2,10,64,3489621044,31034752,8919187456,152717482326.3928,112.44236925108987,0.022850174
AsiaOSM,TreeLowOffset,0,2,10,64,3489621044,29539656,11733565440,121281157402.29395,118.1334354062891,0.028772986
AsiaOSM,TreeLowOffset,0,2,10,64,3489621044,29539656,11733565440,124975393254.14142,118.1334354062891,0.027922465
AsiaOSM,TreeLowOffset,0,2,10,64,3489621044,29539656,11733565440,122703103389.46994,118.1334354062891,0.02843955
AsiaOSM,Full,0,3,10,64,3489621044,3489621044,4007657472,3447905606.399034,1.0,1.012098776
AsiaOSM,Full,0,3,10,64,3489621044,3489621044,4007657472,3447814292.5230546,1.0,1.0121255809999998
AsiaOSM,Full,0,3,10,64,3489621044,3489621044,4007657472,3404553700.8726306,1.0,1.024986342
AsiaOSM,Basic,0,3,10,64,3489621044,61498212,8596226048,32255545383.531013,56.74345530565994,0.108186701
AsiaOSM,Basic,0,3,10,64,3489621044,61498212,8596226048,32207780018.49721,56.74345530565994,0.10834714599999999
AsiaOSM,Basic,0,3,10,64,3489621044,61498212,8596226048,32392293294.62965,56.74345530565994,0.107729978
AsiaOSM,List,0,3,10,64,3489621044,30556844,8919187456,152014270331.9821,114.20096407862016,0.022955878
